Site_Name,Currently_Being_Observed,Year_2023,x,y,place_city_osm_id,place_city_name,place_city_x,place_city_y
Miyakojima,True,2023/02/03,"125.2811486000","24.8054900000",,,,
Miyazaki,True,2023/03/30,"131.4183760000","31.9182442000","739203629",宮崎市,131.4204022,31.9076334
Morioka,True,2023/04/06,"141.1300313000","39.7200161000","471357225",盛岡市,141.1545397,39.7021331
Muroran,True,2023/04/27,"140.9800146000","42.3499589000","263095424",室蘭市,140.9740731,42.3152461
Nagano,True,2023/04/03,"138.1700052000","36.6499968000","702987391",長野市,138.1947664,36.6485851
Nagasaki,True,2023/03/30,"129.8850329000","32.7649884000","568515366",長崎市,129.8781002,32.7501611
Nagoya,True,2023/03/27,"136.9130456000","35.1569434000","569005393",名古屋市,136.8998438,35.1851045
Naha,True,2023/01/30,"127.6729716000","26.2071717000",,,,
Nara,True,2023/03/27,"135.8050002000","34.6850869000","1922043513",奈良市,135.8048359,34.6845445
Naze,True,2023/02/01,"129.4724817000","28.3773893000",,,,
Niigata,True,2023/03/31,"139.0400297000","37.9199968000","752398625",新潟市,139.0365006,37.9160769
Obihiro,True,2023/04/22,"143.1700101000","42.9304144000","262838820",帯広市,143.1966324,42.923809
Oita,True,2023/04/03,"131.5978999000","33.2432280000","417258484",大分市,131.6096524,33.2393864
Okayama,True,2023/03/27,"133.9170865000","34.6720296000","703048335",岡山市,133.9194595,34.6553944
Osaka,True,2023/03/27,"135.5037541901","34.6910952445","57563779",大阪市,135.5014539,34.6937569
Saga,True,2023/03/31,"130.3008576000","33.2634820000","332181950",佐賀市,130.3008378,33.2639134
Sapporo,True,2023/04/21,"141.3380985000","43.0769251000","57683926",札幌市,141.3542924,43.061936
Sendai,True,2023/03/31,"140.8696668554","38.2684409198","752184864",仙台市,140.8691498,38.2677554
Shimonoseki,True,2023/03/31,"130.9454333000","33.9654319000","697538044",下関市,130.9415455,33.9577116
Shizuoka,True,2023/03/29,"138.3853926000","34.9858348000","763118317",静岡市,138.38299,34.979149
Takamatsu,True,2023/03/29,"134.0447790000","34.3447370000","574804765",高松市,134.0465338,34.3425592
Tokushima,True,2023/03/31,"134.5525000000","34.0673895000","263264345",徳島市,134.5550353,34.0698307
Tokyo,True,2023/03/22,"139.8394780000","35.6528320000","265018692",東京都,139.7744912,35.6840574
Tottori,True,2023/03/24,"134.2332946000","35.5003770000","697537844",鳥取市,134.2219282,35.4943948
Toyama,True,2023/03/27,"137.2300109000","36.6999937000","762306892",富山市,137.2136215,36.6957569
Tsu,True,2023/03/27,"136.5166695000","34.7170657000","623151602",津市,136.5153283,34.7341973
Utsunomiya,True,2023/03/30,"139.8700048000","36.5499770000","1108891208",宇都宮市,139.8828776,36.5549677
Wakayama,True,2023/03/25,"135.1677079000","34.2231165000","1551511175",和歌山市,135.178303,34.2345797
Wakkanai,True,2023/05/05,"141.6730822000","45.4156641000","2643056109",稚内市,141.6730309,45.4158108
Yamagata,True,2023/04/05,"140.3200032000","38.2704922000","2017675514",山県市,136.7817491,35.5061049
Yokohama,True,2023/03/25,"139.6020210000","35.4306562000","1973500311",横浜市,139.6367727,35.4443947
